customer,shop,date,month,wday,quantity,billing,datediff_next,max_date
__Iy~,0aM,2018-08-07,8,3,4.638,86.57,0,TRUE
_~qxL,AWT,2018-01-26,1,6,5.715,44.2,0,TRUE
_0DJz,7ti,2018-10-10,10,4,1.305,33.01,0,TRUE
_0l4b,7M4,2018-10-26,10,6,5.96,20.88,0,TRUE
_1DXZ,7XS,2018-05-11,5,6,1.39,33.09,0,TRUE
_1lcM,5S8,2018-10-31,10,4,6.825,76.36,0,TRUE
_1ozs,sN6,2018-10-03,10,4,2.31,15.77,0,TRUE
_1Wh8,uRf,2018-10-31,10,4,3.035,15.29,0,TRUE
_2b06,KFW,2018-10-31,10,4,5.724,28.39,0,TRUE
_31rR,bbb,2018-09-08,9,7,2.005,28.11,0,TRUE
_3ZEr,fDV,2018-10-03,10,4,11.375,67.48,0,TRUE
_48fk,bbb,2018-10-20,10,7,0.2,9.9,0,TRUE
_4IWz,AWT,2018-10-13,10,7,2.85,19.36,0,TRUE
_6vU6,AWT,2018-10-15,10,2,2.55,27.59,0,TRUE
_6Z3g,AWT,2018-02-03,2,7,1,4,0,TRUE
_7Z~u,Rtw,2018-10-31,10,4,2.125,16.75,0,TRUE
_7zkf,5S8,2018-10-27,10,7,1.445,12.36,0,TRUE
_9d67,fDV,2017-06-23,6,6,1.245,3.13,0,TRUE
_9knL,uRf,2018-10-15,10,2,0.33,4.51,0,TRUE
_9qst,AWT,2018-10-26,10,6,6.99,47.05,0,TRUE
_9YdP,uRf,2018-10-24,10,4,1.245,18.59,0,TRUE
_b0Fb,~iy,2018-10-31,10,4,0.876,27.24,0,TRUE
_BJ9n,5S8,2018-10-20,10,7,4.541,42.39,0,TRUE
_bnZc,uRf,2018-10-22,10,2,0.36,3.02,0,TRUE
_BVE4,7ti,2018-09-12,9,4,4.155,26.95,0,TRUE
_bvF0,~iy,2018-10-20,10,7,1.308,25,0,TRUE
_c7U~,AWT,2018-10-29,10,2,2,11.54,0,TRUE
_cBms,KFW,2018-10-19,10,6,2.054,32.37,0,TRUE
