"","customer","chain","shop","date","quantity","billing","datediff_last","datediff_next","max_date"
"1","_~_AH","it","7ti",2016-02-11,0.645,11.93,0,8,FALSE
"2","_~_AH","it","7ti",2016-02-19,2.965,9.53,8,1,FALSE
"3","_~_AH","it","7ti",2016-02-20,3.445,18.84,1,11,FALSE
"4","_~_AH","it","7ti",2016-03-02,0.535,6.44,11,38,FALSE
"5","_~_AH","it","7ti",2016-04-09,1.733,26.85,38,28,FALSE
"6","_~_AH","it","7ti",2016-05-07,0.97,7.24,28,18,FALSE
"7","_~_AH","it","7ti",2016-05-25,0.58,8.61,18,29,FALSE
"8","_~_AH","it","7ti",2016-06-23,0.37,8.7,29,6,FALSE
"9","_~_AH","it","7ti",2016-06-29,0.405,26.25,6,84,FALSE
"10","_~_AH","it","7ti",2016-09-21,0.38,6.42,84,52,FALSE
"11","_~_AH","it","7ti",2016-11-12,0.635,28.34,52,14,FALSE
"12","_~_AH","it","7ti",2016-11-26,0.755,11.75,14,40,FALSE
"13","_~_AH","it","7ti",2017-01-05,1.33,21.18,40,16,FALSE
"14","_~_AH","it","7ti",2017-01-21,0.21,6.84,16,7,FALSE
"15","_~_AH","it","7ti",2017-01-28,0.21,6.67,7,14,FALSE
"16","_~_AH","it","7ti",2017-02-11,1.405,12.44,14,12,FALSE
"17","_~_AH","it","7ti",2017-02-23,0.985,13.17,12,14,FALSE
"18","_~_AH","it","7ti",2017-03-09,0.96,8.32,14,2,FALSE
"19","_~_AH","it","7ti",2017-03-11,1.155,10.4,2,21,FALSE
"20","_~_AH","it","7ti",2017-04-01,1.525,15.39,21,7,FALSE
"21","_~_AH","it","7ti",2017-04-08,0.21,4.25,7,35,FALSE
"22","_~_AH","it","7ti",2017-05-13,3.305,22.95,35,53,FALSE
"23","_~_AH","it","7ti",2017-07-05,0.325,2.21,53,1,FALSE
"24","_~_AH","it","7ti",2017-07-06,1,6.95,1,22,FALSE
"25","_~_AH","it","7ti",2017-07-28,0.22,11.97,22,4,FALSE
"26","_~_AH","it","7ti",2017-08-01,0.52,5.09,4,35,FALSE
"27","_~_AH","it","7ti",2017-09-05,2.235,14.22,35,1,FALSE
"28","_~_AH","it","7ti",2017-09-06,0.34,4.01,1,43,FALSE
"29","_~_AH","it","7ti",2017-10-19,1,6.95,43,12,FALSE
"30","_~_AH","it","7ti",2017-10-31,0.22,7.69,12,22,FALSE
"31","_~_AH","it","7ti",2017-11-22,1,6.95,22,30,FALSE
"32","_~_AH","it","7ti",2017-12-22,6.17,30.13,30,1,FALSE
"33","_~_AH","it","7ti",2017-12-23,0.125,2.26,1,17,FALSE
"34","_~_AH","it","7ti",2018-01-09,1.32,16.81,17,22,FALSE
"35","_~_AH","it","7ti",2018-01-31,1.365,10.22,22,24,FALSE
"36","_~_AH","it","7ti",2018-02-24,1,3.1,24,14,FALSE
"37","_~_AH","it","7ti",2018-03-10,3.655,13.22,14,10,FALSE
"38","_~_AH","it","7ti",2018-03-20,0.2,1.36,10,25,FALSE
"39","_~_AH","it","7ti",2018-04-14,2.85,38.94,25,5,FALSE
"40","_~_AH","it","7ti",2018-04-19,0.265,3.92,5,15,FALSE
"41","_~_AH","it","7ti",2018-05-04,1,4.3,15,15,FALSE
"42","_~_AH","it","7ti",2018-05-19,0.36,5.8,15,23,FALSE
"43","_~_AH","it","7ti",2018-06-11,4.19,21.75,23,21,FALSE
"44","_~_AH","it","7ti",2018-07-02,1.59,8.27,21,3,FALSE
"45","_~_AH","it","7ti",2018-07-05,1.075,16.53,3,32,FALSE
"46","_~_AH","it","7ti",2018-08-06,2.71,15.91,32,4,FALSE
"47","_~_AH","it","7ti",2018-08-10,3.455,16.57,4,31,FALSE
"48","_~_AH","it","7ti",2018-09-10,1.665,16.19,31,26,FALSE
"49","_AJyg","it","5S8",2016-03-08,1.98,26.95,0,8,FALSE
"50","_AJyg","it","5S8",2016-03-16,2.184,19.92,8,195,FALSE
"51","_AJyg","it","5S8",2016-09-27,0.645,11.93,195,16,FALSE
"52","_AJyg","it","5S8",2016-10-13,0.55,8.03,16,28,FALSE
"53","_AJyg","it","5S8",2016-11-10,2.935,32.88,28,27,FALSE
"54","_AJyg","it","5S8",2016-12-07,0.45,6.39,27,14,FALSE
"55","_AJyg","it","5S8",2016-12-21,4.31,23.51,14,9,FALSE
"56","_AJyg","it","5S8",2016-12-30,1.215,18.82,9,125,FALSE
"57","_AJyg","it","5S8",2017-05-04,3.385,27.99,125,36,FALSE
"58","_AJyg","it","5S8",2017-06-09,1.405,17.68,36,28,FALSE
"59","_AJyg","it","5S8",2017-07-07,4.07,47.87,28,7,FALSE
"60","_AJyg","it","5S8",2017-07-14,0.55,8.09,7,56,FALSE
"61","_AJyg","it","5S8",2017-09-08,1.045,20.12,56,6,FALSE
"62","_AJyg","it","5S8",2017-09-14,4,1.06858966120171e-15,6,15,FALSE
"63","_AJyg","it","5S8",2017-09-29,7.835,30.6,15,14,FALSE
"64","_AJyg","it","5S8",2017-10-13,0.37,4.37,14,27,FALSE
"65","_AJyg","it","5S8",2017-11-09,2.81,34.71,27,12,FALSE
"66","_AJyg","it","5S8",2017-11-21,0.775,9.43,12,3,FALSE
"67","_AJyg","it","5S8",2017-11-24,4.275,39.41,3,4,FALSE
"68","_AJyg","it","5S8",2017-11-28,2.92,23.06,4,22,FALSE
"69","_AJyg","it","5S8",2017-12-20,5.1,38.11,22,9,FALSE
"70","_AJyg","it","5S8",2017-12-29,1.305,4.53,9,6,FALSE
"71","_AJyg","it","5S8",2018-01-04,0.62,9.18,6,9,FALSE
"72","_AJyg","it","5S8",2018-01-13,3.17,35.88,9,111,FALSE
"73","_AJyg","it","5S8",2018-05-04,1.625,19.3,111,13,FALSE
"74","_AJyg","it","5S8",2018-05-17,0.515,7.57,13,36,FALSE
"75","_AJyg","it","5S8",2018-06-22,0.45,5.31,36,12,FALSE
"76","_AJyg","it","5S8",2018-07-04,0.235,7.29,12,2,FALSE
"77","_AJyg","it","5S8",2018-07-06,1.965,34.49,2,21,FALSE
"78","_cFlK","~V","~iy",2016-06-23,11.064,55.79,0,5,FALSE
"79","_cFlK","~V","~iy",2016-06-28,2.036,18.54,5,8,FALSE
"80","_cFlK","~V","~iy",2016-07-06,5.368,35.21,8,6,FALSE
"81","_cFlK","~V","~iy",2016-07-12,4.036,21.37,6,7,FALSE
"82","_cFlK","~V","~iy",2016-07-19,7.088,47.36,7,8,FALSE
"83","_cFlK","~V","~iy",2016-07-27,7.384,48.82,8,14,FALSE
"84","_cFlK","~V","~iy",2016-08-10,5.964,62.13,14,8,FALSE
"85","_cFlK","~V","~iy",2016-08-18,5.356,34.93,8,4,FALSE
"86","_cFlK","~V","~iy",2016-08-22,9.906,129.35,4,15,FALSE
"87","_cFlK","~V","~iy",2016-09-06,2.13,8.5,15,1,FALSE
"88","_cFlK","~V","~iy",2016-09-07,2.958,31.09,1,6,FALSE
"89","_cFlK","~V","~iy",2016-09-13,4.046,44.6,6,9,FALSE
"90","_cFlK","~V","~iy",2016-09-22,5.218,66.47,9,5,FALSE
"91","_cFlK","~V","~iy",2016-09-27,2.086,9.15,5,3,FALSE
"92","_cFlK","~V","~iy",2016-09-30,5.916,51.88,3,6,FALSE
"93","_cFlK","~V","~iy",2016-10-06,5.35,36.7,6,7,FALSE
"94","_cFlK","~V","~iy",2016-10-13,7.428,55.52,7,1,FALSE
"95","_cFlK","~V","~iy",2016-10-14,0.492,4.87,1,4,FALSE
"96","_cFlK","~V","~iy",2016-10-18,5.654,45.31,4,6,FALSE
"97","_cFlK","~V","~iy",2016-10-24,4.048,24.36,6,4,FALSE
"98","_cFlK","~V","~iy",2016-10-28,10.208,63.2,4,6,FALSE
"99","_cFlK","~V","~iy",2016-11-03,5.904,47.11,6,4,FALSE
"100","_cFlK","~V","~iy",2016-11-07,4.55,40.16,4,7,FALSE
"101","_cFlK","~V","~iy",2016-11-14,7.016,57.56,7,5,FALSE
"102","_cFlK","~V","~iy",2016-11-19,4.136,47.25,5,6,FALSE
"103","_cFlK","~V","~iy",2016-11-25,14.374,55.75,6,8,FALSE
"104","_cFlK","~V","~iy",2016-12-03,3.364,57.67,8,4,FALSE
"105","_cFlK","~V","~iy",2016-12-07,6.274,28.64,4,7,FALSE
"106","_cFlK","~V","~iy",2016-12-14,3.668,27.59,7,6,FALSE
"107","_cFlK","~V","~iy",2016-12-20,2.868,19.59,6,2,FALSE
"108","_cFlK","~V","~iy",2016-12-22,4.114,23.86,2,6,FALSE
"109","_cFlK","~V","~iy",2016-12-28,4.33,47.23,6,5,FALSE
"110","_cFlK","~V","~iy",2017-01-02,5.69,56.19,5,7,FALSE
"111","_cFlK","~V","~iy",2017-01-09,4.212,30.77,7,7,FALSE
"112","_cFlK","~V","~iy",2017-01-16,9.658,81.17,7,8,FALSE
"113","_cFlK","~V","~iy",2017-01-24,7.312,40.44,8,7,FALSE
"114","_cFlK","~V","~iy",2017-01-31,7.416,72.42,7,7,FALSE
"115","_cFlK","~V","~iy",2017-02-07,3.662,36.76,7,8,FALSE
"116","_cFlK","~V","~iy",2017-02-15,5.068,50.78,8,15,FALSE
"117","_cFlK","~V","~iy",2017-03-02,8.532,56.91,15,6,FALSE
"118","_cFlK","~V","~iy",2017-03-08,4.514,37.03,6,9,FALSE
"119","_cFlK","~V","~iy",2017-03-17,4.22,45.32,9,13,FALSE
"120","_cFlK","~V","~iy",2017-03-30,6.444,69.33,13,26,FALSE
"121","_cFlK","~V","~iy",2017-04-25,2.75,31.22,26,1,FALSE
"122","_cFlK","~V","~iy",2017-04-26,3.304,14.2,1,6,FALSE
"123","_cFlK","~V","~iy",2017-05-02,7.254,94.73,6,7,FALSE
"124","_cFlK","~V","~iy",2017-05-09,3.25,23.21,7,13,FALSE
"125","_cFlK","~V","~iy",2017-05-22,4.044,31.46,13,7,FALSE
"126","_cFlK","~V","~iy",2017-05-29,1.65,31.85,7,2,FALSE
"127","_cFlK","~V","~iy",2017-05-31,2.358,36.47,2,13,FALSE
"128","_cFlK","~V","~iy",2017-06-13,5.512,56.32,13,4,FALSE
"129","_cFlK","~V","~iy",2017-06-17,3.854,22.05,4,3,FALSE
"130","_cFlK","~V","~iy",2017-06-20,4.348,39.96,3,6,FALSE
"131","_cFlK","~V","~iy",2017-06-26,2.696,15.85,6,2,FALSE
