customer,shop,date,month,wday,quantity,billing,datediff_next,max_date
_~_AH,7ti,2018-10-06,10,7,2.39,12.43,0,TRUE
_AJyg,5S8,2018-07-27,7,6,3.54,21.84,0,TRUE
_cFlK,~iy,2018-10-10,10,4,4.616,64.67,0,TRUE
_EO~V,Rtw,2018-10-31,10,4,4.28,44.15,0,TRUE
_EXSy,5S8,2018-06-05,6,3,1,6.95,0,TRUE
_Ii34,7M4,2018-10-31,10,4,3.395,22.2,0,TRUE
_KI52,7M4,2018-10-18,10,5,7.8,23.4,0,TRUE
_kKBr,sN6,2018-08-02,8,5,0.66,14.7,0,TRUE
_knxz,tbv,2018-10-26,10,6,1.264,2.68,0,TRUE
_mBDn,tbv,2018-10-30,10,3,4.556,36.18,0,TRUE
_mSpt,bbb,2018-09-13,9,5,6.08,15.46,0,TRUE
_p0LG,AWT,2018-10-20,10,7,0.425,20.52,0,TRUE
_q8H3,7XS,2018-10-18,10,5,18.12,56.04,0,TRUE
_rAWO,Rtw,2018-10-29,10,2,0.54,4.46,0,TRUE
_TmrR,AWT,2018-10-29,10,2,0.51,11.2,0,TRUE
_TPjG,7ti,2018-10-26,10,6,7.15,55.34,0,TRUE
_upvn,nRq,2018-08-14,8,3,1.05,12,0,TRUE
_vfye,0aM,2018-10-30,10,3,57.4,83.55,0,TRUE
_xUJ9,7XS,2018-10-31,10,4,0.3,3.36,0,TRUE
_ym_z,AWT,2018-10-29,10,2,2.32,10.99,0,TRUE
_ZGza,fDV,2018-10-26,10,6,3,16.95,0,TRUE
~~Z6U,KFW,2018-10-20,10,7,2.736,34.5,0,TRUE
~66fT,7ti,2018-10-23,10,3,5.015,10.65,0,TRUE
~6lia,bbb,2018-10-26,10,6,3.28,30.9,0,TRUE
~9Gl_,AWT,2018-09-20,9,5,1.345,3.83,0,TRUE
~a9zT,nRq,2018-10-19,10,6,0.37,10.29,0,TRUE
~AbvE,7ti,2018-10-29,10,2,4.235,9.48,0,TRUE
~ASFj,Rtw,2018-06-15,6,6,7.775,33.65,0,TRUE
~FAxj,Rtw,2018-10-20,10,7,3.265,26.28,0,TRUE
~FhKG,F50,2018-10-29,10,2,3.44,12.09,0,TRUE
~jAyw,7ti,2018-10-31,10,4,1.56,29.22,0,TRUE
~jVLC,KFW,2018-08-24,8,6,1.432,27.09,0,TRUE
~M1ZM,0aM,2018-10-24,10,4,2.87,14.62,0,TRUE
~mfZq,bbb,2018-10-22,10,2,0.4,5.25,0,TRUE
~nHKY,AWT,2018-07-31,7,3,2.37,0.159999999999999,0,TRUE
~p6mo,7XS,2018-10-30,10,3,3.025,36.8,0,TRUE
~QE1X,KFW,2018-10-29,10,2,1.888,21.27,0,TRUE
~Rwpl,lFX,2018-10-23,10,3,0.482,17.98,0,TRUE
~TW~y,AWT,2018-09-28,9,6,3.91,0.899999999999999,0,TRUE
~WU2I,7ti,2018-10-31,10,4,3.54,23.29,0,TRUE
~XGPH,AWT,2018-10-17,10,4,2,13.5,0,TRUE
~zeko,7M4,2018-09-25,9,3,1.965,14.01,0,TRUE
02FS0,7ti,2018-10-25,10,5,5.245,55.83,0,TRUE
0cnq4,7ti,2018-01-04,1,5,0.56,11.34,0,TRUE
0dYC~,AWT,2018-10-30,10,3,0.27,4.1,0,TRUE
0eVBW,~iy,2018-10-17,10,4,2.458,14.97,0,TRUE
0HMAO,uRf,2018-09-14,9,6,5.065,29.69,0,TRUE
0HqnI,AWT,2018-10-29,10,2,0.295,4.1,0,TRUE
