customer,shop,date,month,wday,quantity,billing,num_prod,datediff_next,max_date
_~_AH,7ti,2016-02-11,2,5,0.645,11.93,1,8,FALSE
_~_AH,7ti,2016-02-19,2,6,2.965,9.53,3,1,FALSE
_~_AH,7ti,2016-02-20,2,7,3.445,18.84,4,11,FALSE
_~_AH,7ti,2016-03-02,3,4,0.535,6.44,2,38,FALSE
_~_AH,7ti,2016-04-09,4,7,1.733,26.85,7,28,FALSE
_~_AH,7ti,2016-05-07,5,7,0.97,7.24,2,18,FALSE
_~_AH,7ti,2016-05-25,5,4,0.58,8.61,2,29,FALSE
_~_AH,7ti,2016-06-23,6,5,0.37,8.7,3,6,FALSE
_~_AH,7ti,2016-06-29,6,4,0.405,26.25,4,84,FALSE
_~_AH,7ti,2016-09-21,9,4,0.38,6.42,1,52,FALSE
_~_AH,7ti,2016-11-12,11,7,0.635,28.34,3,14,FALSE
_~_AH,7ti,2016-11-26,11,7,0.755,11.75,4,40,FALSE
_~_AH,7ti,2017-01-05,1,5,1.33,21.18,2,16,FALSE
_~_AH,7ti,2017-01-21,1,7,0.21,6.84,3,7,FALSE
_~_AH,7ti,2017-01-28,1,7,0.21,6.67,2,14,FALSE
_~_AH,7ti,2017-02-11,2,7,1.405,12.44,5,12,FALSE
_~_AH,7ti,2017-02-23,2,5,0.985,13.17,2,14,FALSE
_~_AH,7ti,2017-03-09,3,5,0.96,8.32,2,2,FALSE
_~_AH,7ti,2017-03-11,3,7,1.155,10.4,2,21,FALSE
_~_AH,7ti,2017-04-01,4,7,1.525,15.39,6,7,FALSE
_~_AH,7ti,2017-04-08,4,7,0.21,4.25,2,35,FALSE
_~_AH,7ti,2017-05-13,5,7,3.305,22.95,6,53,FALSE
_~_AH,7ti,2017-07-05,7,4,0.325,2.21,1,1,FALSE
_~_AH,7ti,2017-07-06,7,5,1,6.95,1,22,FALSE
_~_AH,7ti,2017-07-28,7,6,0.22,11.97,2,4,FALSE
_~_AH,7ti,2017-08-01,8,3,0.52,5.09,3,35,FALSE
_~_AH,7ti,2017-09-05,9,3,2.235,14.22,4,1,FALSE
_~_AH,7ti,2017-09-06,9,4,0.34,4.01,1,43,FALSE
_~_AH,7ti,2017-10-19,10,5,1,6.95,1,12,FALSE
_~_AH,7ti,2017-10-31,10,3,0.22,7.69,2,22,FALSE
_~_AH,7ti,2017-11-22,11,4,1,6.95,2,30,FALSE
_~_AH,7ti,2017-12-22,12,6,6.17,30.13,6,1,FALSE
_~_AH,7ti,2017-12-23,12,7,0.125,2.26,1,17,FALSE
_~_AH,7ti,2018-01-09,1,3,1.32,16.81,3,22,FALSE
_~_AH,7ti,2018-01-31,1,4,1.365,10.22,2,24,FALSE
_~_AH,7ti,2018-02-24,2,7,1,3.1,2,14,FALSE
_~_AH,7ti,2018-03-10,3,7,3.655,13.22,5,10,FALSE
_~_AH,7ti,2018-03-20,3,3,0.2,1.36,1,25,FALSE
_~_AH,7ti,2018-04-14,4,7,2.85,38.94,2,5,FALSE
_~_AH,7ti,2018-04-19,4,5,0.265,3.92,1,15,FALSE
_~_AH,7ti,2018-05-04,5,6,1,4.3,1,15,FALSE
_~_AH,7ti,2018-05-19,5,7,0.36,5.8,2,23,FALSE
_~_AH,7ti,2018-06-11,6,2,4.19,21.75,7,21,FALSE
_~_AH,7ti,2018-07-02,7,2,1.59,8.27,1,3,FALSE
_~_AH,7ti,2018-07-05,7,5,1.075,16.53,4,32,FALSE
_~_AH,7ti,2018-08-06,8,2,2.71,15.91,3,4,FALSE
_~_AH,7ti,2018-08-10,8,6,3.455,16.57,4,31,FALSE
_~_AH,7ti,2018-09-10,9,2,1.665,16.19,4,26,FALSE
_AJyg,5S8,2016-03-08,3,3,1.98,26.95,6,8,FALSE
_AJyg,5S8,2016-03-16,3,4,2.184,19.92,4,195,FALSE
_AJyg,5S8,2016-09-27,9,3,0.645,11.93,1,16,FALSE
_AJyg,5S8,2016-10-13,10,5,0.55,8.03,1,28,FALSE
_AJyg,5S8,2016-11-10,11,5,2.935,32.88,9,27,FALSE
_AJyg,5S8,2016-12-07,12,4,0.45,6.39,1,14,FALSE
_AJyg,5S8,2016-12-21,12,4,4.31,23.51,3,9,FALSE
_AJyg,5S8,2016-12-30,12,6,1.215,18.82,4,125,FALSE
_AJyg,5S8,2017-05-04,5,5,3.385,27.99,4,36,FALSE
_AJyg,5S8,2017-06-09,6,6,1.405,17.68,4,28,FALSE
_AJyg,5S8,2017-07-07,7,6,4.07,47.87,11,7,FALSE
_AJyg,5S8,2017-07-14,7,6,0.55,8.09,1,56,FALSE
_AJyg,5S8,2017-09-08,9,6,1.045,20.12,2,6,FALSE
_AJyg,5S8,2017-09-14,9,5,4,1.06858966120171e-15,3,15,FALSE
_AJyg,5S8,2017-09-29,9,6,7.835,30.6,8,14,FALSE
_AJyg,5S8,2017-10-13,10,6,0.37,4.37,1,27,FALSE
_AJyg,5S8,2017-11-09,11,5,2.81,34.71,5,12,FALSE
_AJyg,5S8,2017-11-21,11,3,0.775,9.43,3,3,FALSE
_AJyg,5S8,2017-11-24,11,6,4.275,39.41,9,4,FALSE
_AJyg,5S8,2017-11-28,11,3,2.92,23.06,4,22,FALSE
_AJyg,5S8,2017-12-20,12,4,5.1,38.11,12,9,FALSE
_AJyg,5S8,2017-12-29,12,6,1.305,4.53,2,6,FALSE
_AJyg,5S8,2018-01-04,1,5,0.62,9.18,1,9,FALSE
_AJyg,5S8,2018-01-13,1,7,3.17,35.88,8,111,FALSE
_AJyg,5S8,2018-05-04,5,6,1.625,19.3,3,13,FALSE
_AJyg,5S8,2018-05-17,5,5,0.515,7.57,1,36,FALSE
_AJyg,5S8,2018-06-22,6,6,0.45,5.31,1,12,FALSE
_AJyg,5S8,2018-07-04,7,4,0.235,7.29,3,2,FALSE
_AJyg,5S8,2018-07-06,7,6,1.965,34.49,4,21,FALSE
_cFlK,~iy,2016-06-23,6,5,11.064,55.79,8,5,FALSE
_cFlK,~iy,2016-06-28,6,3,2.036,18.54,4,8,FALSE
_cFlK,~iy,2016-07-06,7,4,5.368,35.21,7,6,FALSE
_cFlK,~iy,2016-07-12,7,3,4.036,21.37,7,7,FALSE
_cFlK,~iy,2016-07-19,7,3,7.088,47.36,10,8,FALSE
_cFlK,~iy,2016-07-27,7,4,7.384,48.82,10,14,FALSE
_cFlK,~iy,2016-08-10,8,4,5.964,62.13,7,8,FALSE
_cFlK,~iy,2016-08-18,8,5,5.356,34.93,6,4,FALSE
_cFlK,~iy,2016-08-22,8,2,9.906,129.35,14,15,FALSE
_cFlK,~iy,2016-09-06,9,3,2.13,8.5,1,1,FALSE
_cFlK,~iy,2016-09-07,9,4,2.958,31.09,5,6,FALSE
