customer,date,billing
sW2Tg,2018-11-11,20.07
jL2H_,2018-11-09,24.82
ows9Y,2018-12-27,12.41
bNtuI,2018-11-09,21.42
Bg9db,2018-11-09,14.11
z0AH5,2018-11-13,23.36
1sw87,2018-11-09,39.01
F_q7l,2018-11-09,4.23
Gm~mF,2018-11-09,21.88
RLcup,2018-11-10,12.27
rfNmu,2018-11-10,18.39
xbPBf,2018-12-07,14.22
SWjY4,2018-11-09,25.37
_TmrR,2018-11-11,35.13
Mf4ZC,2018-11-10,22.64
DdAnk,2018-11-09,22.76
4vCO5,2018-11-11,23.58
v4Usx,2018-11-17,6.7
9ugyo,2018-11-18,10.73
_TPjG,2018-11-09,37.8
my23F,2018-11-09,24.08
lQvZU,2018-11-22,40.11
pjgwl,2018-11-09,37.56
D3Wyh,2018-11-09,10.27
jRdYv,2018-11-13,13.98
a7Cwa,2018-11-09,23.69
vdPy8,2018-11-09,7.58
uSYev,2018-11-09,57.18
EoRYR,2018-11-13,10.1
y_ZOx,2018-11-26,15.9
yL0Sv,2018-11-19,61.63
aqcfg,2018-11-09,10.56
4ipD9,2018-11-13,5.14
NuD7j,2018-11-14,10.64
Lf6FF,2018-11-14,12.53
3ZTnE,2018-11-09,9.85
J_T8J,2018-11-16,14.36
Cfrk3,2018-11-09,18.33
4XB5L,2018-11-09,15.48
pSiFC,2018-11-20,17.03
44MSY,2018-11-29,28.32
ITQ3q,2018-11-11,26.04
bFIug,2018-11-09,15.96
TzlzL,2018-11-14,4.76
eInwb,2018-11-10,18.23
nOgqC,2018-11-09,12.44
_q8H3,2018-11-09,48.52
PXTiD,2018-11-09,11.77
g~9Lo,2018-11-10,70.03
~nHKY,2018-11-09,23.43
SEDXD,2018-11-14,18.52
C4~Wf,2018-11-15,20.82
0rhv5,2018-11-09,40.08
gemZB,2018-11-09,32.69
~TW~y,2018-11-09,8.55
oSYDx,2018-11-09,57.49
nOuJp,2018-11-14,35.49
BTltu,2018-11-09,11.99
iFC7x,2018-11-09,51.51
v4b~F,2018-11-21,11.55
5Zgtj,2018-11-16,49.69
ekfDA,2018-11-13,26.1
3Bvbj,2018-11-09,32.8
D7w5Y,2018-11-19,21.21
7arD1,2018-11-09,20.57
8LWb5,2018-11-09,37.7
sQ0JY,2018-11-09,16.59
aSO3F,2018-11-09,29.91
xbVB5,2018-11-11,10.5
1MHak,2018-11-16,53.24
8gnU1,2018-11-10,16.36
EQFYq,2018-11-13,32.7
F19wF,2018-11-09,9.75
d5ToH,2018-11-09,12.59
THt18,2018-11-09,9.74
OWkzj,2018-11-13,23.75
Z3A3Y,2018-11-13,27.94
TFwt0,2018-11-11,13.65
Ag2Uo,2018-11-09,21.78
64C3f,2018-11-09,28.17
0dYC~,2018-11-14,7.47
QuRwD,2018-11-09,8.51
T~sqF,2018-11-09,21.25
gNtdi,2018-11-09,16.92
TU9Ee,2018-11-11,27.11
zP1nC,2018-11-11,17.28
xqSqI,2018-11-14,90.01
